zipcode,airbnb_price_mean,airbnb_price_median,airbnb_record_count,airbnb_weekly_price_mean,airbnb_monthly_price_mean
2010.0,40.0,40.0,1,,
2134.0,50.0,50.0,1,,
2582.0,104.0,104.0,1,,
3000.0,150.5043065043065,129.0,3367,918.7389558232932,3407.204651162791
3001.0,132.5,132.5,2,,
3002.0,200.9796954314721,130.0,197,956.3793103448276,3712.714285714286
3003.0,130.20599250936328,120.0,267,760.2,2629.5
3004.0,158.27197802197801,130.0,728,1061.1714285714286,3759.925925925926
3006.0,188.85173501577287,150.0,1268,1239.8272727272727,4358.556701030928
3008.0,177.01136363636363,138.0,616,1025.2758620689656,3222.8333333333335
3011.0,95.6010101010101,65.0,198,441.9166666666667,1624.611111111111
3012.0,112.63157894736842,90.5,76,518.0,2335.0
3013.0,135.609756097561,108.5,82,923.5714285714286,2966.090909090909
3015.0,132.04615384615386,96.0,65,706.125,2002.3333333333333
3016.0,191.09459459459458,180.0,74,612.25,2119.75
3018.0,85.62162162162163,80.0,37,732.5,1550.5
3019.0,90.46666666666667,58.0,15,200.0,
3020.0,69.55555555555556,40.0,45,160.0,600.0
3021.0,81.65,56.5,20,350.0,1300.0
3023.0,92.6,71.0,35,500.0,
3024.0,75.66666666666667,70.0,18,,
3025.0,113.76470588235294,55.0,17,,
3027.0,141.64102564102564,71.0,39,400.0,1200.0
3028.0,107.57894736842105,70.0,38,430.0,870.0
3029.0,76.15044247787611,58.0,113,512.8571428571429,1692.0
3030.0,115.74806201550388,68.0,258,590.0,2224.6
3031.0,119.91489361702128,82.0,188,645.3888888888889,2184.090909090909
3032.0,111.61363636363636,86.5,176,469.8666666666667,1677.9166666666667
3033.0,83.64285714285714,60.0,14,306.6666666666667,850.0
3034.0,127.25,40.0,4,,
3036.0,228.2,100.0,5,,
3037.0,66.4375,57.5,16,426.6666666666667,1554.3333333333333
3038.0,91.0,70.0,8,600.0,
3039.0,100.98076923076923,79.5,52,392.5,1533.3333333333333
3040.0,114.14285714285714,82.0,56,787.5,3366.6666666666665
3041.0,106.125,87.5,8,350.0,1500.0
3042.0,81.57142857142857,65.0,35,568.2,1800.75
3043.0,114.82758620689656,71.0,29,700.0,1502.0
3044.0,98.95,79.5,40,514.2,1567.5
3046.0,69.03333333333333,60.0,60,351.0,1076.6666666666667
3047.0,63.857142857142854,40.0,21,475.0,
3048.0,57.5,50.0,4,,
3049.0,92.28571428571429,65.0,21,400.0,
3051.0,112.23372781065089,100.0,338,753.5277777777778,3152.153846153846
3052.0,91.5111111111111,73.0,90,471.53846153846155,1633.1333333333334
3053.0,111.76765799256506,90.0,538,923.5102040816327,3205.315789473684
3054.0,121.39855072463769,90.0,138,642.5,1690.888888888889
3055.0,87.82758620689656,71.0,87,519.2857142857143,1725.9333333333334
3056.0,94.67264573991031,77.0,446,618.758064516129,2308.978723404255
3057.0,154.43243243243242,100.0,185,595.8421052631579,2789.6666666666665
3058.0,103.10526315789474,75.0,133,896.0555555555555,3624.1666666666665
3059.0,136.41176470588235,53.0,17,420.6666666666667,1612.6666666666667
3060.0,49.666666666666664,40.0,9,,
3063.0,160.14285714285714,98.0,7,2000.0,7000.0
3064.0,71.4047619047619,49.0,42,185.0,
3065.0,153.84237726098192,120.0,387,1087.5569620253164,3734.65
3066.0,145.989898989899,120.0,297,920.078947368421,3087.230769230769
3067.0,130.62403100775194,100.0,258,605.1521739130435,2187.032258064516
3068.0,126.01298701298701,102.5,308,801.3157894736842,2801.842105263158
3070.0,113.28169014084507,91.0,284,585.7551020408164,2429.344827586207
3071.0,125.00877192982456,89.5,114,675.8,2580.1
3072.0,94.15602836879432,71.0,141,525.4285714285714,1449.2
3073.0,273.9264705882353,55.0,68,399.8888888888889,1459.625
3074.0,82.5,52.5,12,,
3075.0,142.8,157.0,10,200.0,800.0
3076.0,51.529411764705884,48.0,17,395.0,1440.0
3078.0,111.20270270270271,79.0,74,605.0,2233.875
3079.0,125.47368421052632,84.5,38,514.9,1875.0
3081.0,83.65789473684211,59.0,38,291.42857142857144,937.5
3082.0,76.66666666666667,37.5,18,,
3083.0,84.13793103448276,55.0,87,702.5,2291.5
3084.0,127.20833333333333,93.0,72,1128.75,2298.0
3085.0,93.33333333333333,82.0,6,200.0,750.0
3087.0,77.0,75.0,3,,
3088.0,68.36363636363636,65.0,11,250.0,955.0
3089.0,81.16666666666667,82.5,6,350.0,
3093.0,89.83333333333333,82.5,6,525.0,1820.0
3094.0,94.22222222222223,55.0,9,,
3095.0,112.0,120.0,29,701.6,2850.0
3096.0,100.0,100.0,1,250.0,1500.0
3097.0,147.41176470588235,120.0,17,1098.3333333333333,4157.0
3099.0,136.0,120.0,10,586.25,2119.3333333333335
3101.0,139.5981308411215,96.0,107,609.75,1300.0
3102.0,759.0833333333334,77.5,12,1589.0,5627.0
3103.0,105.26315789473684,71.0,57,606.75,2111.25
3104.0,97.26829268292683,80.0,41,1118.0,4063.0
3105.0,116.26086956521739,65.0,23,528.0,2000.0
3106.0,127.21739130434783,75.0,23,,
3107.0,228.26315789473685,80.0,19,350.0,1400.0
3108.0,128.82978723404256,138.0,141,1137.5,5125.25
3109.0,117.0,98.0,53,1042.142857142857,4311.8
3111.0,151.8,119.0,10,624.3333333333334,2217.0
3113.0,281.93548387096774,105.0,31,678.125,1976.6666666666667
3114.0,270.0,247.5,8,640.0,
3115.0,224.14285714285714,118.0,7,2236.6666666666665,10060.0
3116.0,349.1818181818182,150.0,11,390.5,1261.0
3121.0,162.26273885350318,126.5,628,1089.0681818181818,3771.90625
3122.0,180.57065217391303,86.5,184,1726.4166666666667,8158.9
3123.0,151.2962962962963,101.0,81,1340.6666666666667,6069.0
3124.0,138.5568181818182,96.5,88,526.6666666666666,2742.5714285714284
3125.0,88.14754098360656,60.0,61,383.75,870.0
3126.0,148.1304347826087,140.0,23,922.0,2702.0
3127.0,86.41176470588235,72.0,68,444.5,1699.0
3128.0,111.44392523364486,103.5,214,426.375,1610.625
3129.0,113.0,60.0,104,133.0,527.0
3130.0,102.57627118644068,96.0,59,501.75,2147.1428571428573
3131.0,112.5925925925926,89.0,27,465.2,1975.0
3132.0,68.60526315789474,62.0,38,,
3133.0,76.18181818181819,60.0,44,660.0,3980.0
3134.0,116.58928571428571,93.0,56,354.6666666666667,1202.3333333333333
3135.0,104.11764705882354,75.0,17,,
3136.0,84.8076923076923,72.0,26,742.0,2529.6666666666665
3137.0,109.77777777777777,71.0,9,1300.0,7000.0
3138.0,110.5,68.0,14,,
3139.0,247.55263157894737,174.0,38,1882.125,2934.6666666666665
3140.0,168.95238095238096,120.0,21,1366.6666666666667,
3141.0,157.91259931895573,120.0,881,1040.4036697247707,3417.811111111111
3142.0,244.5,118.0,118,1168.8235294117646,4471.833333333333
3143.0,192.46376811594203,100.0,69,743.1818181818181,3130.5
3144.0,290.84444444444443,140.0,45,1984.375,8634.2
3145.0,116.26724137931035,82.0,116,416.53846153846155,980.0
3146.0,135.83333333333334,100.0,72,770.1111111111111,2940.75
3147.0,82.75862068965517,60.0,29,520.0,
3148.0,79.5,65.5,26,197.5,1660.3333333333333
3149.0,119.41558441558442,60.0,77,450.2857142857143,1588.5
3150.0,124.02645502645503,80.0,189,526.35,1901.611111111111
3151.0,97.65517241379311,66.0,29,600.0,2200.0
3152.0,92.3125,68.5,48,590.0,2126.4
3153.0,91.75,50.5,16,952.0,3512.0
3154.0,107.14285714285714,100.0,7,390.0,1350.0
3155.0,95.57142857142857,71.0,21,324.5,1099.5
3156.0,125.27586206896552,98.0,29,,
3158.0,150.0,140.0,15,795.0,2000.0
3159.0,185.75,150.0,12,1452.0,4100.0
3160.0,190.0,150.0,32,954.0,2450.0
3161.0,127.42622950819673,109.0,122,1242.9285714285713,3429.818181818182
3162.0,130.11111111111111,96.0,81,1192.0,4314.416666666667
3163.0,94.2051282051282,71.5,156,553.1538461538462,2047.75
3165.0,113.03921568627452,69.0,51,563.2,2032.8
3166.0,113.14285714285714,60.0,70,459.2857142857143,1536.1666666666667
3167.0,107.21739130434783,46.0,23,,
3168.0,77.42763157894737,50.0,152,379.3076923076923,1217.0
3169.0,82.6896551724138,71.0,29,286.5,951.5
3170.0,59.45454545454545,42.0,22,,
3171.0,67.85714285714286,55.0,21,,
3172.0,79.66666666666667,48.0,12,680.0,2500.0
3173.0,71.60975609756098,50.0,41,300.0,
3174.0,49.0,42.5,32,276.25,783.6666666666666
3175.0,185.57142857142858,95.0,42,1140.0,4359.0
3177.0,161.6,90.0,5,,
3178.0,81.8780487804878,69.0,41,,
3179.0,76.54545454545455,46.0,11,,
3180.0,282.5,67.5,10,,
3181.0,148.1695652173913,112.0,460,868.1481481481482,3304.3823529411766
3182.0,147.7295154185022,118.0,1135,1051.4410256410256,3847.4
3183.0,127.51840490797547,97.5,326,795.530612244898,2761.0625
3184.0,147.45373134328358,102.0,335,1099.962962962963,3581.2727272727275
3185.0,154.1320754716981,103.5,106,826.1,3374.9
3186.0,268.2983870967742,159.5,124,1029.4615384615386,5467.083333333333
3187.0,193.8679245283019,100.0,53,376.875,1116.0
3188.0,245.11267605633802,163.0,71,1273.6,4694.555555555556
3189.0,97.0,60.0,13,,
3190.0,154.56410256410257,120.0,39,832.6,3421.4
3191.0,195.72,138.0,50,1118.7,4375.857142857143
3192.0,115.06666666666666,100.0,60,901.3333333333334,2336.6666666666665
3193.0,215.92857142857142,147.5,42,1546.0,6171.333333333333
3194.0,153.0,84.0,21,,1500.0
3195.0,143.04225352112675,109.0,71,649.2857142857143,2539.0
3196.0,120.69491525423729,100.0,59,936.0,2373.0
3197.0,140.37037037037038,90.0,27,658.3333333333334,2333.3333333333335
3198.0,110.0,90.0,39,638.4444444444445,2379.3
3199.0,174.96116504854368,109.0,103,802.2857142857143,3041.0
3200.0,40.0,40.0,1,,
3201.0,88.0,108.0,5,678.0,2345.0
3202.0,335.7142857142857,224.0,14,,
3204.0,114.6125,71.0,80,719.2222222222222,2936.0
3205.0,214.84666666666666,144.0,300,1226.0243902439024,4125.225806451613
3206.0,229.41803278688525,165.0,122,1187.4,3734.0
3207.0,200.2101167315175,152.0,257,1480.7906976744187,4743.964285714285
3335.0,137.33333333333334,82.0,6,,
3337.0,110.8076923076923,65.0,26,,
3338.0,95.48,96.0,25,550.0,
3427.0,255.14285714285714,289.0,7,1125.0,5250.0
3428.0,287.25,288.5,4,,
3429.0,131.29166666666666,72.5,24,,
3750.0,43.5,43.0,6,,
3752.0,63.90909090909091,44.0,11,,
3753.0,302.0,302.0,1,,
3754.0,115.15789473684211,96.0,19,450.0,1650.0
3757.0,245.0,130.0,7,,
3759.0,162.0,161.0,5,,
3760.0,135.2,161.0,5,750.0,2000.0
3761.0,180.0,180.0,2,,
3765.0,325.0,255.0,3,,
3766.0,259.27272727272725,174.0,22,1113.3333333333333,4166.666666666667
3767.0,215.66666666666666,180.0,42,814.0,2784.5
3770.0,396.1666666666667,317.0,24,1050.0,3200.0
3775.0,337.68888888888887,220.0,45,733.1666666666666,2800.0
3777.0,271.2566844919786,195.0,187,1278.5121951219512,3802.1875
3778.0,163.0,163.0,1,,
3781.0,195.0,199.0,13,903.75,3000.0
3782.0,188.58695652173913,190.0,46,804.8,2975.0
3783.0,177.73333333333332,165.0,15,1047.5,
3785.0,251.0,251.0,1,,
3786.0,345.3636363636364,285.0,11,762.0,2688.0
3787.0,253.03703703703704,226.0,27,1088.0,3150.0
3788.0,249.37078651685394,270.0,89,1547.5,5441.5
3789.0,362.75,171.0,8,1450.0,4550.0
3791.0,221.3,140.5,10,,
3792.0,282.8125,240.0,16,631.0,
3793.0,126.875,125.0,8,,
3795.0,149.5,149.5,2,,
3796.0,154.57142857142858,109.0,7,950.0,2900.0
3797.0,265.72222222222223,173.5,18,1373.3333333333333,4000.0
3799.0,196.93258426966293,180.0,89,992.6666666666666,2194.3333333333335
3802.0,63.27272727272727,60.0,11,380.0,
3803.0,140.16666666666666,52.0,6,,
3804.0,193.83333333333334,142.5,6,450.0,1650.0
3805.0,225.23529411764707,150.0,34,622.0,2178.6666666666665
3806.0,488.27272727272725,84.0,33,540.0,
3807.0,85.75,89.0,4,709.5,2714.0
3808.0,278.5,272.5,4,1800.0,7500.0
3809.0,76.21428571428571,64.5,14,286.0,1008.0
3810.0,94.95454545454545,84.0,22,723.3333333333334,3800.0
3812.0,262.0,262.0,2,,
3814.0,180.0,180.0,3,,
3815.0,315.2857142857143,199.0,7,1000.0,2000.0
3910.0,118.0,84.0,8,250.0,
3911.0,334.6,225.0,10,1340.0,6350.0
3912.0,89.0,89.0,1,,
3930.0,114.5,114.5,2,,
3975.0,99.5,66.0,6,850.0,3000.0
3976.0,55.0,55.0,2,,
3977.0,92.95555555555555,65.0,45,422.0,1025.0
3978.0,177.0,71.0,7,950.6666666666666,7770.0
3980.0,86.4,79.0,5,,
3981.0,130.0,130.0,1,,
4068.0,37.0,37.0,1,,
5203.0,212.0,212.0,1,,
5791.0,299.0,299.0,1,,
6791.0,220.0,220.0,1,,
7266.0,220.0,220.0,1,,
7367.0,230.0,230.0,1,,
8938.0,296.0,296.0,1,,
9004.0,226.0,226.0,1,,
9540.0,245.0,245.0,1,,
30122.0,75.0,75.0,1,525.0,2281.0
